ID,School_Name,System_ID,Type,School_Phone,Enrollment_Count,Teacher_Count,Teachers_Less_Than_1_Year_Experience_(%),Teachers_Between_1_and_10_Years_Experience_(%),Teachers_Between_11_and_20_Years_Experience_(%),Teachers Between_21_and_30_Years_Experience_(%),Teachers_Greater_Than_30_Years_Experience_(%)
2016,Antioch Elementary School,755,Elementary School,706.278.7550,452.0,39.0,5.0,49.0,23.0,21.0,3.0
2017,Eastside Elementary School,755,Elementary School,706.278.3074,543.0,48.0,2.0,56.0,33.0,8.0,0.0
2018,Varnell Elementary School,755,Elementary School,706.694.3471,413.0,30.0,3.0,20.0,37.0,37.0,3.0
2019,Cohutta Elementary School,755,Elementary School,706.694.8812,273.0,22.0,0.0,27.0,64.0,9.0,0.0
2020,Pleasant Grove Elementary School,755,Elementary School,706.259.3920,407.0,35.0,6.0,43.0,34.0,17.0,0.0
2021,Westside Elementary School,755,Elementary School,706.673.6531,618.0,47.0,4.0,36.0,32.0,28.0,0.0
2022,Dawnville Elementary School,755,Elementary School,706.259.3914,445.0,35.0,0.0,23.0,60.0,17.0,0.0
2023,Tunnel Hill Elementary School,755,Elementary School,706.673.4550,281.0,22.0,9.0,9.0,23.0,50.0,9.0
2024,Dug Gap Elementary School,755,Elementary School,706.226.3919,371.0,31.0,0.0,45.0,32.0,23.0,0.0
2025,Valley Point Elementary School,755,Elementary School,706.277.3259,489.0,38.0,3.0,37.0,47.0,13.0,0.0
2026,Wilcox County Middle School,756,Middle School,229.365.7231,281.0,24.0,4.0,21.0,33.0,17.0,25.0
2027,Wilcox County Elementary School,756,Elementary School,229.365.7858,526.0,43.0,0.0,44.0,23.0,28.0,5.0
2028,Wilcox County High School,756,High School,229.365.7858,322.0,26.0,0.0,8.0,42.0,35.0,15.0
2029,Washington-Wilkes Primary School,757,Elementary School,706.678.2633,438.0,34.0,0.0,15.0,41.0,27.0,18.0
2030,Washington-Wilkes Comprehensive High School,757,High School,706.678.2426,415.0,32.0,3.0,50.0,19.0,28.0,0.0
2031,Washington-Wilkes Elementary School,757,Elementary School,706.678.7124,226.0,20.0,10.0,50.0,25.0,10.0,5.0
2032,Washington-Wilkes Middle School,757,Middle School,706.678.7132,319.0,20.0,0.0,50.0,25.0,25.0,0.0
2033,Wilkinson County Elementary School,758,Elementary School,478.946.5527,296.0,20.0,5.0,55.0,15.0,25.0,0.0
2034,Wilkinson County Middle School,758,Middle School,478.946.2541,318.0,24.0,4.0,42.0,33.0,21.0,0.0
2035,Wilkinson County Primary School,758,Elementary School,478.946.2161,249.0,21.0,5.0,33.0,52.0,10.0,0.0
2036,Wilkinson County High School,758,High School,478.946.2441,385.0,31.0,3.0,58.0,16.0,16.0,7.0
2037,Worth County Elementary School,759,Elementary School,229.776.8605,768.0,47.0,0.0,32.0,43.0,21.0,4.0
2038,Worth County High School,759,High School,229.776.8625,826.0,55.0,7.0,38.0,24.0,27.0,4.0
2039,Worth County Middle School,759,Middle School,229.776.8620,722.0,46.0,7.0,24.0,39.0,28.0,2.0
2040,Worth County Primary School,759,Elementary School,229.776.8660,712.0,60.0,2.0,33.0,37.0,20.0,8.0
2041,Worth County Achievement Center,759,High School,229.463.3056,42.0,2.0,0.0,0.0,0.0,100.0,0.0
2042,Brown Middle School,761,Middle School,404.802.6800,480.0,38.0,13.0,45.0,32.0,11.0,0.0
2043,Parkside Elementary School,761,Elementary School,404.802.4100,524.0,46.0,7.0,39.0,41.0,13.0,0.0
2044,Heritage Academy Elementary,761,Elementary School,404.802.8650,441.0,35.0,6.0,37.0,29.0,29.0,0.0
2045,Dobbs Elementary School,761,Elementary School,404.802.8050,438.0,34.0,6.0,27.0,47.0,21.0,0.0
2046,Finch Elementary,761,Elementary School,404.802.4000,410.0,41.0,17.0,29.0,42.0,12.0,0.0
2047,Early College High School at Carver,761,High School,404.802.4405,468.0,37.0,11.0,24.0,51.0,14.0,0.0
2048,Kipp Strive Academy,761,Middle School,404.753.1530,388.0,29.0,10.0,66.0,21.0,3.0,0.0
2049,Springdale Park Elementary School,761,Elementary School,404.802.7150,739.0,51.0,8.0,43.0,37.0,12.0,0.0
2050,KIPP VISION,761,Middle School,404.537.5252,365.0,24.0,0.0,92.0,4.0,4.0,0.0
2051,Kindezi,761,Elementary School,404.671.4920,414.0,62.0,18.0,76.0,5.0,2.0,0.0
2052,Long Middle School,761,Middle School,404.802.4800,740.0,47.0,4.0,30.0,40.0,26.0,0.0
2053,Bunche Middle School,761,Middle School,404.802.6700,930.0,57.0,18.0,23.0,37.0,23.0,0.0
2054,Mays High School,761,High School,404.802.5100,1333.0,94.0,6.0,38.0,42.0,14.0,0.0
2055,Maynard H. Jackson Jr. High School,761,High School,404.802.5200,1297.0,77.0,4.0,44.0,42.0,10.0,0.0
2056,Sylvan Hills Middle School,761,Middle School,404.802.6200,550.0,42.0,14.0,48.0,26.0,12.0,0.0
2057,North Atlanta High School,761,High School,404.802.4700,1978.0,119.0,3.0,37.0,37.0,23.0,0.0
2058,Cascade Elementary School,761,Elementary School,404.802.8100,405.0,35.0,11.0,31.0,40.0,17.0,0.0
2059,Centennial Academy,761,Elementary School,404.802.8550,812.0,68.0,27.0,53.0,19.0,2.0,0.0
2060,Charles R. Drew Charter School,761,Elementary School,404.687.0001,906.0,80.0,4.0,50.0,33.0,14.0,0.0
2061,Atlanta Neighborhood Charter - Middle,761,Middle School,678.904.0051,232.0,24.0,0.0,50.0,46.0,0.0,4.0
2062,Hillside Conant School,761,K12,404.875.4551,59.0,12.0,8.0,42.0,42.0,8.0,0.0
2063,KIPP Atlanta Collegiate Academy,761,High School,404.326.4858,775.0,62.0,3.0,71.0,19.0,5.0,2.0
2064,KIPP Strive Primary,761,Elementary School,404.924.6310,506.0,29.0,3.0,97.0,0.0,0.0,0.0
2065,KIPP Vision Primary,761,Elementary School,404.537.5252,498.0,28.0,7.0,79.0,14.0,0.0,0.0
2066,Kipp WAYS Primary School,761,Elementary School,404.924.6310,505.0,28.0,4.0,93.0,4.0,0.0,0.0
2067,Young Middle School,761,Middle School,404.802.5900,798.0,62.0,8.0,34.0,39.0,19.0,0.0
2068,Price Middle School,761,Middle School,404.802.6300,381.0,30.0,0.0,63.0,30.0,7.0,0.0
2069,Perkerson Elementary School,761,Elementary School,404.802.3950,383.0,37.0,16.0,46.0,27.0,11.0,0.0
2070,Bolton Academy,761,Elementary School,404.802.8350,540.0,44.0,7.0,36.0,41.0,16.0,0.0
2071,Deerwood Academy School,761,Elementary School,404.802.3300,634.0,48.0,0.0,33.0,46.0,21.0,0.0
2072,Burgess-Peterson Elementary School,761,Elementary School,404.802.3400,462.0,41.0,0.0,34.0,37.0,29.0,0.0
2073,Westside Atlanta Charter School,761,Elementary School,404.931.4827,311.0,26.0,4.0,81.0,15.0,0.0,0.0
2074,Booker T. Washington High School,761,High School,404.802.4600,679.0,52.0,8.0,25.0,48.0,19.0,0.0
2075,King Middle School,761,Middle School,404.802.5400,790.0,56.0,9.0,32.0,39.0,20.0,0.0
2076,APS-Forrest Hills Academy,761,High School,404.591.7275,129.0,26.0,12.0,31.0,50.0,8.0,0.0
2077,Atlanta Classical Academy,761,K12,404.369.3500,667.0,53.0,8.0,70.0,19.0,2.0,2.0
2078,Atlanta Neighborhood Charter - Elementary,761,Elementary School,404.624.6226,396.0,37.0,0.0,51.0,41.0,8.0,0.0
2079,Miles Elementary School,761,Elementary School,404.802.8900,564.0,45.0,2.0,44.0,38.0,16.0,0.0
2080,Charles Drew Charter School JA/SA,761,High School,404.687.0001,833.0,75.0,5.0,53.0,31.0,11.0,0.0
2081,Bazoline E. Usher/Collier Heights Elmentary School,761,Elementary School,404.802.5700,397.0,36.0,3.0,42.0,33.0,22.0,0.0
2082,KIPP West Atlanta Young Scholars Academy,761,Middle School,404.475.1941,361.0,25.0,4.0,76.0,20.0,0.0,0.0
2083,Boyd Elementary School,761,Elementary School,404.802.8150,436.0,35.0,0.0,34.0,40.0,26.0,0.0
2084,Hutchinson Elementary School,761,Elementary School,404.802.7650,426.0,35.0,0.0,37.0,29.0,34.0,0.0
2085,Kimberly Elementary School,761,Elementary School,404.802.7600,453.0,37.0,11.0,38.0,35.0,16.0,0.0
2086,Rivers Elementary School,761,Elementary School,404.802.7050,760.0,53.0,0.0,34.0,38.0,28.0,0.0
2087,Wesley International Academy Charter Facility,761,Elementary School,678.904.9137,799.0,72.0,4.0,71.0,24.0,0.0,1.0
2088,Therrell High School,761,High School,404.802.5300,851.0,61.0,12.0,44.0,28.0,16.0,0.0
2089,Corretta Scott King Womens' Leadership Academy,761,High School,404.802.4900,350.0,39.0,8.0,31.0,44.0,18.0,0.0
2090,B.E.S.T Academy,761,High School,404.802.4900,326.0,38.0,13.0,24.0,42.0,18.0,3.0
2091,South Atlanta High School,761,High School,404.802.5050,823.0,63.0,2.0,41.0,46.0,11.0,0.0
2092,Carver High School,761,High School,404.802.4415,499.0,43.0,16.0,67.0,12.0,5.0,0.0
2093,Michael R. Hollis Innovation Academy,761,Elementary School,404.802.3600,628.0,59.0,15.0,27.0,44.0,14.0,0.0
2094,Woodson Park Academy,761,Elementary School,404.802.7750,539.0,37.0,8.0,54.0,30.0,8.0,0.0
2095,Tuskegee Airman Global Academy,761,Elementary School,404.802.8450,624.0,42.0,12.0,24.0,45.0,19.0,0.0
2096,Kindezi Old 4th Ward,761,Elementary School,404.719.4005,497.0,78.0,19.0,71.0,10.0,0.0,0.0
2097,John Lewis Invictus Academy,761,Middle School,404.802.6100,662.0,41.0,15.0,42.0,32.0,12.0,0.0
2098,KIPP Soul Primary,761,Elementary School,404.759.6852,114.0,7.0,0.0,100.0,0.0,0.0,0.0
2100,Garden Hills Elementary School,761,Elementary School,404.802.7800,504.0,40.0,5.0,33.0,28.0,35.0,0.0
2101,Inman Middle School,761,Middle School,404.802.3200,1065.0,71.0,3.0,35.0,39.0,23.0,0.0
2102,Smith Elementary School,761,Elementary School,404.802.3880,979.0,63.0,2.0,30.0,43.0,25.0,0.0
2103,Morningside Elementary School,761,Elementary School,404.802.8950,938.0,63.0,2.0,33.0,41.0,24.0,0.0
2104,Brandon Elementary School,761,Elementary School,404.802.7250,1008.0,69.0,4.0,38.0,30.0,28.0,0.0
2105,The John Hope-Charles Walter Hill Elementary Schools,761,Elementary School,404.802.7450,405.0,33.0,3.0,42.0,42.0,12.0,0.0
2106,Gideons Elementary School,761,Elementary School,404.802.7700,357.0,52.0,12.0,75.0,12.0,2.0,0.0
2107,Jackson Elementary School,761,Elementary School,404.802.8800,673.0,50.0,8.0,20.0,38.0,34.0,0.0
2108,Lin Elementary School,761,Elementary School,404.802.8850,662.0,45.0,2.0,36.0,47.0,16.0,0.0
2109,West Manor Elementary School,761,Elementary School,404.802.3350,278.0,25.0,0.0,24.0,32.0,44.0,0.0
2110,Crim High School,761,High School,404.802.5800,207.0,23.0,9.0,26.0,30.0,35.0,0.0
2111,Beecher Hills Elementary School,761,Elementary School,404.802.8300,270.0,30.0,0.0,27.0,37.0,37.0,0.0
2112,Continental Colony Elementary School,761,Elementary School,404.802.8000,411.0,34.0,6.0,44.0,32.0,18.0,0.0
2113,Peyton Forest Elementary School,761,Elementary School,404.802.7100,457.0,36.0,14.0,61.0,11.0,14.0,0.0
2114,Sutton Middle School,761,Middle School,404.802.5600,1614.0,93.0,7.0,33.0,40.0,20.0,0.0
2115,Fickett Elementary School,761,Elementary School,404.802.7850,512.0,41.0,5.0,46.0,34.0,15.0,0.0
2116,Scott Elementary School,761,Elementary School,404.802.7000,363.0,31.0,13.0,39.0,32.0,16.0,0.0
2117,Cleveland Elementary School,761,Elementary School,404.802.8400,337.0,30.0,0.0,47.0,27.0,27.0,0.0
2118,Douglass High School,761,High School,404.802.3100,968.0,63.0,0.0,43.0,40.0,18.0,0.0
2119,M. A. Jones Elementary School,761,Elementary School,404.802.3900,473.0,34.0,9.0,29.0,47.0,15.0,0.0
2120,Slater Elementary School,761,Elementary School,404.802.4050,529.0,43.0,0.0,51.0,40.0,9.0,0.0
2121,Grady High School,761,High School,404.802.3001,1389.0,88.0,5.0,23.0,52.0,21.0,0.0
2122,Benteen Elementary School,761,Elementary School,404.802.7300,276.0,26.0,4.0,42.0,31.0,23.0,0.0
2123,Barack and Michelle Obama Academy,761,Elementary School,404.802.4200,265.0,28.0,11.0,32.0,36.0,21.0,0.0
2124,Thomasville Heights Elementary School,761,Elementary School,404.802.5750,417.0,40.0,5.0,53.0,25.0,8.0,10.0
2125,Dunbar Elementary School,761,Elementary School,404.802.7950,380.0,29.0,7.0,28.0,52.0,14.0,0.0
2126,Humphries Elementary School,761,Elementary School,404.802.8750,280.0,28.0,4.0,36.0,50.0,11.0,0.0
2127,F. L. Stanton Elementary School,761,Elementary School,404.802.7500,261.0,23.0,0.0,44.0,17.0,39.0,0.0
2128,Toomer Elementary School,761,Elementary School,404.802.3450,424.0,41.0,7.0,46.0,22.0,24.0,0.0
2129,Bremen 4th & 5th Grade Academy,763,Elementary School,770.537.4874,337.0,27.0,0.0,37.0,33.0,19.0,11.0
2130,Bremen High School,763,High School,770.537.2592,726.0,41.0,0.0,27.0,37.0,27.0,10.0
2131,Bremen Middle School,763,Middle School,770.537.4874,537.0,32.0,0.0,34.0,25.0,38.0,3.0
2132,Jones Elementary School,763,Elementary School,770.537.4352,624.0,53.0,0.0,23.0,28.0,42.0,8.0
2133,Buford Academy,764,Elementary School,678.482.6960,1558.0,95.0,4.0,21.0,44.0,28.0,2.0
2134,Buford Middle School,764,Middle School,770.904.3690,1180.0,65.0,2.0,32.0,32.0,31.0,3.0
2135,Buford High School,764,High School,770.945.6768,1481.0,88.0,1.0,30.0,44.0,16.0,9.0
2136,Buford Elementary School,764,Elementary School,770.945.5248,726.0,57.0,2.0,25.0,40.0,30.0,4.0
2138,Calhoun Middle School,765,Middle School,706.629.3340,1004.0,60.0,3.0,28.0,38.0,28.0,2.0
2139,Calhoun Elementary School,765,Elementary School,706.629.7130,1714.0,104.0,4.0,25.0,48.0,20.0,3.0
2140,Calhoun High School,765,High School,706.629.9213,1174.0,61.0,7.0,26.0,30.0,33.0,5.0
2141,Carrollton Upper Elementary School,766,Elementary School,770.830.0997,1147.0,71.0,10.0,48.0,20.0,18.0,4.0
2142,Carrollton Elementary School,766,Elementary School,770.832.2120,1521.0,112.0,1.0,34.0,36.0,23.0,6.0
2143,Carrollton High School,766,High School,770.834.7726,1630.0,92.0,3.0,40.0,33.0,20.0,4.0
2144,Carrollton Jr. High School,766,Middle School,770.832.6535,807.0,50.0,8.0,30.0,42.0,16.0,4.0
2145,Cartersville Primary School,767,Elementary School,770.382.1733,909.0,78.0,3.0,23.0,36.0,30.0,9.0
2146,Cartersville Elementary School,767,Elementary School,770.382.0983,920.0,63.0,3.0,25.0,41.0,25.0,5.0
2147,Cartersville Middle School,767,Middle School,770.382.3666,1114.0,59.0,3.0,19.0,51.0,22.0,5.0
2148,Cartersville High School,767,High School,770.382.3200,1438.0,71.0,1.0,30.0,35.0,25.0,9.0
2149,Gordon Lee Middle School,769,Middle School,706.382.3100,337.0,25.0,4.0,12.0,36.0,32.0,16.0
2150,Gordon Lee High School,769,High School,706.382.3100,448.0,30.0,0.0,30.0,40.0,17.0,13.0
2151,Chickamauga Elementary School,769,Elementary School,706.382.3100,529.0,32.0,0.0,22.0,53.0,22.0,3.0
2152,Commerce Primary,771,Elementary School,706.335.5587,391.0,32.0,0.0,31.0,41.0,25.0,3.0
2153,Commerce Middle School,771,Middle School,706.335.5594,496.0,35.0,3.0,31.0,40.0,23.0,3.0
2154,Commerce High School,771,High School,706.335.5942,487.0,38.0,3.0,32.0,45.0,18.0,3.0
2155,Commerce Elementary School,771,Elementary School,706.335.1801,260.0,20.0,0.0,35.0,30.0,25.0,10.0
2156,Park Creek Elementary School,772,Elementary School,706.428.7700,563.0,59.0,5.0,34.0,41.0,12.0,9.0
2157,Blue Ridge Elementary School,772,Elementary School,706.260.2700,576.0,56.0,9.0,54.0,25.0,7.0,5.0
2158,Morris Innovative High School,772,High School,706.876.4150,348.0,36.0,3.0,47.0,28.0,19.0,3.0
2159,Westwood Elementary School,772,Elementary School,706.278.2809,540.0,46.0,2.0,37.0,41.0,17.0,2.0
2160,Dalton Middle School,772,Middle School,706.428.7800,1772.0,137.0,3.0,42.0,29.0,22.0,5.0
2161,City Park Elementary School,772,Elementary School,706.278.8859,639.0,59.0,9.0,44.0,34.0,12.0,2.0
2162,Brookwood Elementary School,772,Elementary School,706.278.9202,624.0,51.0,0.0,39.0,29.0,22.0,10.0
2163,Roan Elementary School,772,Elementary School,706.226.3225,420.0,46.0,7.0,30.0,39.0,20.0,4.0
2164,Dalton High School,772,High School,706.278.8757,2067.0,113.0,2.0,30.0,37.0,25.0,6.0
2165,Oakhurst Elementary School,773,Elementary School,404.370.4470,480.0,35.0,0.0,31.0,43.0,23.0,3.0
2166,Fifth Avenue Elementary,773,Elementary School,404.370.4460,923.0,65.0,0.0,42.0,42.0,14.0,3.0
2167,Westchester Elementary School,773,Elementary School,404.370.4400,289.0,23.0,0.0,39.0,39.0,13.0,9.0
2168,New Glennwood Elementary,773,Elementary School,404.370.4435,296.0,23.0,0.0,48.0,22.0,26.0,4.0
2169,Winnona Park Elementary School,773,Elementary School,404.370.4490,456.0,35.0,0.0,29.0,54.0,14.0,3.0
2170,Clairemont Elementary School,773,Elementary School,404.370.4450,303.0,26.0,4.0,42.0,42.0,12.0,0.0
2172,Renfroe Middle School,773,Middle School,404.370.4440,1337.0,93.0,1.0,41.0,41.0,14.0,3.0
2173,Decatur High School,773,High School,404.370.4420,1456.0,102.0,2.0,38.0,41.0,15.0,4.0
2174,Dublin Middle School,774,Middle School,478.353.8130,626.0,41.0,10.0,46.0,20.0,22.0,2.0
2175,Hillcrest Elementary,774,Elementary School,478.353.8200,458.0,31.0,26.0,19.0,26.0,29.0,0.0
2176,Dublin High School,774,High School,478.353.8040,589.0,36.0,8.0,33.0,28.0,22.0,8.0
2177,Susie Dasher,774,Elementary School,478.353.8250,476.0,35.0,26.0,31.0,23.0,20.0,0.0
2178,Moore Street Facility,774,High School,478.353.8400,55.0,7.0,14.0,14.0,29.0,14.0,29.0
2179,New Holland Core Knowledge Academy,776,Elementary School,770.287.1095,637.0,44.0,7.0,68.0,23.0,0.0,2.0
2180,Gainesville Middle School,776,Middle School,770.534.4237,1805.0,115.0,7.0,48.0,33.0,12.0,0.0
2181,Centennial Arts Academy,776,Elementary School,770.287.2044,846.0,63.0,11.0,38.0,35.0,14.0,2.0
2182,Gainesville Exploration Academy,776,Elementary School,770.287.1223,643.0,53.0,4.0,36.0,36.0,17.0,8.0
2183,Mundy Mill Academy,776,Elementary School,770.534.0671,529.0,40.0,5.0,63.0,30.0,0.0,3.0
2184,Enota Multiple Intelligences Academy,776,Elementary School,770.532.7711,738.0,52.0,2.0,52.0,29.0,12.0,6.0
2185,Fair Street International Baccalaureate World School,776,Elementary School,770.536.5295,410.0,33.0,6.0,55.0,27.0,12.0,0.0
2186,Gainesville High School,776,High School,770.536.4441,2148.0,126.0,2.0,36.0,34.0,23.0,6.0
2187,Jefferson Middle School,779,Middle School,706.367.2882,884.0,58.0,2.0,29.0,45.0,22.0,2.0
2188,Jefferson Academy,779,Elementary School,706.367.2300,897.0,57.0,2.0,23.0,60.0,16.0,0.0
2189,Jefferson High School,779,High School,706.367.2881,1134.0,68.0,2.0,21.0,43.0,21.0,15.0
2190,Jefferson Elementary School,779,Elementary School,706.367.8242,798.0,63.0,3.0,25.0,57.0,13.0,2.0
2191,Marietta High School,781,High School,770.428.2631,2448.0,142.0,4.0,34.0,40.0,18.0,4.0
2192,Sawyer Road Elementary School,781,Elementary School,770.429.9923,661.0,62.0,7.0,45.0,26.0,19.0,3.0
2193,Marietta Center for Advanced Academics,781,Elementary School,770.420.0822,336.0,20.0,5.0,65.0,15.0,10.0,5.0
2194,A.L. Burruss Elementary School,781,Elementary School,770.429.3144,480.0,39.0,5.0,44.0,28.0,21.0,3.0
2195,Dunleith Elementary School,781,Elementary School,770.429.3190,580.0,47.0,4.0,47.0,32.0,17.0,0.0
2196,Marietta Middle School,781,Middle School,770.422.0311,1332.0,92.0,2.0,36.0,45.0,17.0,0.0
2197,George W. Hartmann Center,781,High School,770.971.7801,16.0,1.0,0.0,0.0,0.0,100.0,0.0
2198,Lockheed Elementary School,781,Elementary School,770.429.3196,694.0,62.0,5.0,44.0,34.0,18.0,0.0
2199,Marietta Sixth Grade Academy,781,Middle School,770.429.3115,669.0,51.0,2.0,39.0,35.0,22.0,2.0
2201,Park Street Elementary School,781,Elementary School,770.429.3180,524.0,50.0,0.0,30.0,38.0,32.0,0.0
2202,Hickory Hills Elementary School,781,Elementary School,770.429.3125,369.0,38.0,8.0,47.0,26.0,13.0,5.0
2203,West Side Elementary School,781,Elementary School,770.429.3172,515.0,38.0,0.0,50.0,32.0,16.0,3.0
2204,Mountain Education Charter High School,7820108,High School,706.219.4664,2058.0,567.0,0.0,12.0,31.0,36.0,21.0
2205,Odyssey Charter School,7820110,Elementary School,770.251.6111,351.0,33.0,3.0,58.0,21.0,15.0,3.0
2206,Georgia Cyber Academy,7820120,K12,404.334.4790,11173.0,393.0,0.0,45.0,45.0,9.0,1.0
2207,Utopian Academy for the Arts Charter School,7820121,Middle School,470.446.1070,258.0,16.0,31.0,50.0,13.0,6.0,0.0
2208,Cherokee Charter Academy,7820212,Elementary School,678.385.7322,825.0,59.0,7.0,76.0,17.0,0.0,0.0
2209,Georgia Connections Academy,7820412,High School,678.825.3258,4370.0,101.0,0.0,53.0,34.0,13.0,1.0
2210,Ivy Preparatory Academy Inc,7820612,Elementary School,404.622.2727,509.0,37.0,8.0,62.0,19.0,5.0,5.0
2211,Foothills Charter High School (Central Office - Athens),7820613,High School,706.795.2191,1687.0,335.0,0.0,27.0,39.0,21.0,13.0
2212,International Charter School of Atlanta,7820614,Elementary School,470.222.7420,733.0,51.0,35.0,49.0,16.0,0.0,0.0
2213,Scintilla Charter Academy,7820615,Elementary School,229.244.5750,513.0,35.0,3.0,69.0,14.0,14.0,0.0
2214,Georgia School for Innovation and the Classics,7820616,K12,706.434.8085,718.0,50.0,4.0,66.0,22.0,6.0,2.0
2215,Dubois Integrity Academy,7820617,Elementary School,770.629.1534,771.0,49.0,4.0,61.0,27.0,6.0,2.0
2216,Coastal Plains Charter High School - Candler Campus,7820618,High School,912.685.5713,873.0,167.0,0.0,31.0,34.0,25.0,11.0
2217,Statesboro STEAM Academy,7830103,High School,912.764.5888,175.0,16.0,6.0,75.0,19.0,0.0,0.0
2218,Pataula Charter Academy,7830210,K12,229.354.4001,594.0,37.0,0.0,43.0,38.0,19.0,0.0
2219,Fulton Leadership Academy,7830310,Middle School,404.472.3529,281.0,30.0,0.0,83.0,7.0,3.0,7.0
2220,Atlanta Heights Charter School,7830410,Elementary School,404.472.3003,759.0,37.0,14.0,73.0,14.0,0.0,0.0
2221,Coweta Charter Academy,7830610,Elementary School,770.599.0228,780.0,50.0,0.0,74.0,24.0,2.0,0.0
2222,Cirrus Charter Academy,7830611,Elementary School,478.250.1376,430.0,24.0,38.0,46.0,4.0,4.0,8.0
2223,Southwest Georgia S.T.E.M. Charter Academy,7830612,K12,229.679.5555,331.0,24.0,13.0,38.0,13.0,33.0,4.0
